
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       4.0       18%     54%    46%  100% 0.99   55%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     53%    47%  100% 0.99   29%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       3.5       10%     44%    41%  100% 0.98   78%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       3.3       10%     19%    17%  100% 1.00   49%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        0%     55%    45%  100% 0.98  100%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       4.0        9%     55%    45%  100% 1.00   38%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.2        1%     41%    59%  100% 0.98   36%
  late       death                     greedy       policy-pick             0%  0/0/60/0       4.0       18%     53%    47%  100% 0.99   44%
  late       death                     blind        policy-pick             0%  0/0/60/0       4.0       18%     53%    47%  100% 0.99   46%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     53%    47%  100% 0.99   33%
  late       death                     control-lock policy-pick             0%  0/0/60/0       3.5        9%     41%    38%  100% 0.98   66%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       3.4       10%     16%    15%  100% 1.00   58%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        0%     52%    48%  100% 0.98  100%
  late       death                     chaos        policy-pick             0%  0/0/60/0       4.0        9%     55%    45%  100% 1.00   37%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.3        1%     35%    65%  100% 0.98   31%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       4.0       19%     54%    46%  100% 0.99   42%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       4.0       18%     54%    46%  100% 0.99   44%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.0       33%     53%    47%  100% 0.99   35%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.5       10%     42%    38%  100% 0.98   69%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       3.4       10%     20%    18%  100% 1.00   36%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        0%     56%    44%  100% 0.98  100%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       4.0       10%     55%    45%  100% 0.99   35%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.2        1%     30%    70%  100% 0.98   34%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       18%     54%    46%  100% 0.98   43%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       18%     53%    46%  100% 0.98   44%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.0       32%     54%    46%  100% 0.99   30%
  impossible the-incompleteness        control-lock policy-pick             0%  0/0/60/0       5.3       10%     46%    40%  100% 0.98   69%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.2       12%     19%    17%  100% 1.00   58%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        0%     47%    53%  100% 0.98   47%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.1       10%     55%    45%  100% 0.99   39%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.9        1%     44%    56%  100% 0.98   31%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
