
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  greedy       policy-pick           vic=  3 mer=  0 cap=  3 con=  0 def= 54
  mid        tri-eyes                  blind        policy-pick           vic=  3 mer=  0 cap=  3 con=  0 def= 54
  mid        tri-eyes                  dot-weaver   policy-pick           vic= 37 mer=  0 cap=  0 con=  0 def= 23
  mid        tri-eyes                  control-lock policy-pick           vic= 43 mer=  0 cap=  1 con=  0 def= 16
  mid        tri-eyes                  aggro-brute  policy-pick           vic=  6 mer=  0 cap=  0 con=  0 def= 54
  mid        tri-eyes                  turtle       policy-pick           vic=  4 mer=  0 cap=  0 con=  0 def= 56
  mid        tri-eyes                  chaos        policy-pick           vic=  3 mer=  0 cap=  2 con=  0 def= 55
  mid        tri-eyes                  mercy-seeker policy-pick           vic= 14 mer=  0 cap=  0 con=  0 def= 46
  mid        mirac                     greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     control-lock policy-pick           vic= 19 mer=  0 cap=  1 con=  0 def= 40
  mid        mirac                     aggro-brute  policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        mirac                     turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     chaos        policy-pick           vic=  0 mer=  0 cap=  1 con=  0 def= 59
